customer_id,tgam_score
C00001,628
C00002,619
C00003,636
C00004,624
C00005,627
C00006,622
C00007,596
C00008,625
C00009,559
C00010,582
C00011,509
C00012,507
C00013,605
C00014,604
C00015,605
C00016,563
C00017,593
C00018,526
C00019,533
C00020,526
C00021,584
C00022,573
C00023,555
C00024,548
C00025,629
C00026,641
C00027,642
C00028,643
C00029,350
C00030,350
C00031,351
C00032,350
C00033,493
C00034,500
C00035,567
C00036,496
C00037,644
C00038,614
C00039,571
C00040,618
C00041,433
C00042,442
C00043,444
C00044,433
C00045,628
C00046,628
C00047,631
C00048,579
C00049,570
C00050,566
C00051,570
C00052,566
C00053,357
C00054,357
C00055,358
C00056,357
C00057,558
C00058,556
C00059,551
C00060,561
C00061,573
C00062,573
C00063,573
C00064,573
C00065,562
C00066,480
C00067,452
C00068,481
C00069,445
C00070,496
C00071,507
C00072,496
C00073,506
C00074,501
C00075,492
C00076,525
C00077,352
C00078,352
C00079,352
C00080,352
C00081,476
C00082,487
C00083,482
C00084,480
C00085,350
C00086,350
C00087,350
C00088,350
C00089,608
C00090,610
C00091,591
C00092,591
C00093,539
C00094,539
C00095,529
C00096,515
C00097,364
C00098,362
C00099,364
C00100,364
C00101,505
C00102,430
C00103,509
C00104,506
C00105,362
C00106,361
C00107,362
C00108,362
C00109,513
C00110,531
C00111,543
C00112,564
C00113,516
C00114,536
C00115,526
C00116,526
C00117,351
C00118,350
C00119,353
C00120,353
C00121,636
C00122,616
C00123,617
C00124,559
C00125,351
C00126,350
C00127,350
C00128,352
C00129,426
C00130,425
C00131,433
C00132,396
C00133,538
C00134,538
C00135,531
C00136,538
C00137,611
C00138,585
C00139,571
C00140,571
C00141,580
C00142,582
C00143,581
C00144,494
C00145,367
C00146,367
C00147,370
C00148,370
C00149,580
C00150,576
C00151,576
C00152,576
C00153,356
C00154,356
C00155,353
C00156,353
C00157,579
C00158,579
C00159,596
C00160,579
C00161,506
C00162,504
C00163,499
C00164,398
C00165,366
C00166,366
C00167,366
C00168,364
C00169,535
C00170,530
C00171,578
C00172,530
C00173,602
C00174,591
C00175,593
C00176,591
C00177,573
C00178,579
C00179,576
C00180,580
C00181,369
C00182,370
C00183,370
C00184,367
C00185,362
C00186,361
C00187,362
C00188,363
C00189,626
C00190,615
C00191,622
C00192,622
C00193,371
C00194,371
C00195,371
C00196,371
C00197,461
C00198,475
C00199,464
C00200,455
C00201,353
C00202,353
C00203,353
C00204,353
C00205,362
C00206,362
C00207,362
C00208,356
C00209,359
C00210,359
C00211,359
C00212,370
C00213,580
C00214,582
C00215,582
C00216,568
C00217,354
C00218,356
C00219,354
C00220,356
C00221,539
C00222,539
C00223,550
C00224,532
C00225,537
C00226,574
C00227,523
C00228,499
C00229,369
C00230,369
C00231,369
C00232,369
C00233,356
C00234,350
C00235,355
C00236,354
C00237,350
C00238,351
C00239,350
C00240,356
C00241,362
C00242,362
C00243,362
C00244,362
C00245,568
C00246,526
C00247,555
C00248,555
C00249,564
C00250,569
C00251,569
C00252,569
C00253,591
C00254,579
C00255,585
C00256,579
C00257,518
C00258,518
C00259,518
C00260,517
C00261,358
C00262,358
C00263,357
C00264,358
C00265,364
C00266,366
C00267,366
C00268,364
C00269,351
C00270,351
C00271,351
C00272,350
C00273,550
C00274,555
C00275,529
C00276,555
C00277,354
C00278,354
C00279,355
C00280,354
C00281,616
C00282,616
C00283,619
C00284,636
C00285,502
C00286,477
C00287,477
C00288,476
C00289,572
C00290,601
C00291,575
C00292,572
C00293,375
C00294,377
C00295,377
C00296,379
C00297,597
C00298,594
C00299,591
C00300,601
C00301,357
C00302,356
C00303,356
C00304,350
C00305,570
C00306,570
C00307,570
C00308,570
C00309,605
C00310,604
C00311,586
C00312,586
C00313,578
C00314,553
C00315,553
C00316,553
C00317,365
C00318,365
C00319,365
C00320,364
C00321,600
C00322,582
C00323,598
C00324,506
C00325,514
C00326,514
C00327,507
C00328,350
C00329,583
C00330,593
C00331,542
C00332,571
C00333,549
C00334,560
C00335,517
C00336,555
C00337,551
C00338,532
C00339,552
C00340,552
C00341,364
C00342,363
C00343,362
C00344,363
C00345,350
C00346,352
C00347,352
C00348,350
C00349,600
C00350,594
C00351,595
C00352,595
C00353,537
C00354,544
C00355,544
C00356,544
C00357,578
C00358,602
C00359,580
C00360,509
C00361,593
C00362,603
C00363,550
C00364,605
C00365,584
C00366,581
C00367,551
C00368,579
C00369,521
C00370,524
C00371,551
C00372,503
C00373,538
C00374,542
C00375,537
C00376,542
C00377,359
C00378,359
C00379,359
C00380,359
C00381,362
C00382,362
C00383,362
C00384,366
C00385,457
C00386,452
C00387,582
C00388,582
C00389,577
C00390,574
C00391,608
C00392,577
C00393,545
C00394,559
C00395,571
C00396,569
C00397,361
C00398,361
C00399,361
C00400,361
C00401,569
C00402,572
C00403,568
C00404,569
C00405,520
C00406,487
C00407,515
C00408,515
C00409,355
C00410,355
C00411,355
C00412,358
C00413,515
C00414,535
C00415,538
C00416,567
C00417,355
C00418,356
C00419,356
C00420,354
C00421,350
C00422,350
C00423,350
C00424,350
C00425,426
C00426,525
C00427,444
C00428,444
C00429,549
C00430,549
C00431,549
C00432,550
C00433,553
C00434,553
C00435,548
C00436,548
C00437,502
C00438,548
C00439,490
C00440,416
C00441,441
C00442,479
C00443,591
C00444,496
C00445,595
C00446,595
C00447,579
C00448,597
C00449,562
C00450,567
C00451,564
C00452,528
C00453,351
C00454,351
C00455,354
C00456,352
C00457,453
C00458,452
C00459,499
C00460,536
C00461,588
C00462,415
C00463,574
C00464,588
C00465,354
C00466,353
C00467,353
C00468,353
C00469,369
C00470,365
C00471,367
C00472,367
C00473,373
C00474,372
C00475,372
C00476,371
C00477,572
C00478,598
C00479,571
C00480,572
C00481,367
C00482,367
C00483,367
C00484,367
C00485,357
C00486,357
C00487,356
C00488,353
C00489,353
C00490,352
C00491,353
C00492,352
C00493,616
C00494,606
C00495,512
C00496,519
C00497,491
C00498,486
C00499,482
C00500,549
C00501,353
C00502,352
C00503,353
C00504,353
C00505,507
C00506,507
C00507,507
C00508,502
C00509,601
C00510,594
C00511,601
C00512,457
C00513,465
C00514,465
C00515,465
C00516,453
C00517,586
C00518,583
C00519,584
C00520,476
C00521,613
C00522,606
C00523,608
C00524,528
C00525,350
C00526,350
C00527,350
C00528,350
C00529,350
C00530,357
C00531,358
C00532,361
C00533,354
C00534,353
C00535,354
C00536,354
C00537,576
C00538,576
C00539,564
C00540,572
C00541,419
C00542,388
C00543,482
C00544,390
C00545,594
C00546,529
C00547,593
C00548,575
C00549,587
C00550,585
C00551,586
C00552,588
C00553,500
C00554,493
C00555,496
C00556,496
C00557,578
C00558,577
C00559,568
C00560,564
C00561,368
C00562,372
C00563,367
C00564,370
C00565,513
C00566,504
C00567,505
C00568,504
C00569,639
C00570,850
C00571,641
C00572,640
C00573,567
C00574,565
C00575,565
C00576,565
C00577,361
C00578,361
C00579,361
C00580,360
C00581,613
C00582,622
C00583,625
C00584,628
C00585,512
C00586,524
C00587,514
C00588,513
C00589,351
C00590,353
C00591,353
C00592,352
C00593,575
C00594,576
C00595,611
C00596,575
C00597,352
C00598,353
C00599,352
C00600,352
C00601,430
C00602,460
C00603,350
C00604,456
C00605,577
C00606,577
C00607,636
C00608,577
C00609,584
C00610,587
C00611,606
C00612,550
C00613,461
C00614,582
C00615,469
C00616,574
C00617,631
C00618,599
C00619,551
C00620,591
C00621,577
C00622,577
C00623,572
C00624,575
C00625,499
C00626,494
C00627,460
C00628,494
C00629,521
C00630,531
C00631,535
C00632,536
C00633,435
C00634,437
C00635,421
C00636,432
C00637,501
C00638,495
C00639,502
C00640,502
C00641,358
C00642,360
C00643,360
C00644,360
C00645,368
C00646,359
C00647,359
C00648,359
C00649,364
C00650,364
C00651,364
C00652,364
C00653,458
C00654,489
C00655,463
C00656,455
C00657,352
C00658,352
C00659,352
C00660,352
C00661,564
C00662,565
C00663,561
C00664,566
C00665,359
C00666,358
C00667,358
C00668,358
C00669,581
C00670,584
C00671,581
C00672,573
C00673,493
C00674,498
C00675,498
C00676,498
C00677,377
C00678,377
C00679,383
C00680,395
C00681,351
C00682,352
C00683,350
C00684,350
C00685,352
C00686,350
C00687,350
C00688,350
C00689,566
C00690,564
C00691,562
C00692,510
C00693,590
C00694,589
C00695,578
C00696,578
C00697,572
C00698,596
C00699,597
C00700,549
C00701,366
C00702,365
C00703,365
C00704,365
C00705,551
C00706,553
C00707,553
C00708,553
C00709,478
C00710,478
C00711,468
C00712,478
C00713,447
C00714,432
C00715,451
C00716,437
C00717,605
C00718,583
C00719,588
C00720,577
C00721,607
C00722,607
C00723,447
C00724,588
C00725,539
C00726,588
C00727,609
C00728,574
C00729,592
C00730,502
C00731,446
C00732,477
C00733,517
C00734,517
C00735,502
C00736,512
C00737,365
C00738,367
C00739,368
C00740,367
C00741,414
C00742,522
C00743,493
C00744,522
C00745,352
C00746,351
C00747,351
C00748,351
C00749,586
C00750,594
C00751,593
C00752,594
C00753,363
C00754,364
C00755,350
C00756,350
C00757,356
C00758,356
C00759,356
C00760,358
C00761,352
C00762,351
C00763,350
C00764,360
C00765,592
C00766,588
C00767,593
C00768,593
C00769,353
C00770,353
C00771,353
C00772,354
C00773,610
C00774,653
C00775,591
C00776,616
C00777,519
C00778,520
C00779,525
C00780,520
C00781,448
C00782,448
C00783,448
C00784,443
C00785,512
C00786,512
C00787,517
C00788,500
C00789,587
C00790,588
C00791,587
C00792,585
C00793,587
C00794,587
C00795,587
C00796,590
C00797,508
C00798,500
C00799,522
C00800,522
C00801,716
C00802,561
C00803,566
C00804,566
C00805,488
C00806,603
C00807,603
C00808,605
C00809,367
C00810,366
C00811,368
C00812,368
C00813,580
C00814,577
C00815,580
C00816,582
C00817,407
C00818,406
C00819,376
C00820,407
C00821,628
C00822,648
C00823,628
C00824,641
C00825,454
C00826,510
C00827,512
C00828,528
C00829,476
C00830,478
C00831,476
C00832,468
C00833,789
C00834,504
C00835,504
C00836,510
C00837,353
C00838,353
C00839,353
C00840,353
C00841,597
C00842,607
C00843,607
C00844,599
C00845,590
C00846,595
C00847,592
C00848,448
C00849,360
C00850,360
C00851,360
C00852,360
C00853,350
C00854,350
C00855,350
C00856,350
C00857,352
C00858,352
C00859,350
C00860,352
C00861,510
C00862,479
C00863,520
C00864,520
C00865,594
C00866,586
C00867,594
C00868,579
C00869,359
C00870,357
C00871,357
C00872,378
C00873,355
C00874,355
C00875,355
C00876,355
C00877,352
C00878,350
C00879,352
C00880,350
C00881,366
C00882,359
C00883,358
C00884,360
C00885,584
C00886,587
C00887,579
C00888,579
C00889,434
C00890,518
C00891,533
C00892,491
C00893,377
C00894,377
C00895,377
C00896,362
C00897,350
C00898,350
C00899,350
C00900,350
C00901,352
C00902,352
C00903,352
C00904,350
C00905,615
C00906,662
C00907,633
C00908,700
C00909,597
C00910,607
C00911,587
C00912,566
C00913,577
C00914,577
C00915,600
C00916,592
C00917,491
C00918,476
C00919,476
C00920,477
C00921,351
C00922,351
C00923,350
C00924,351
C00925,513
C00926,502
C00927,512
C00928,482
C00929,574
C00930,574
C00931,572
C00932,585
C00933,439
C00934,439
C00935,439
C00936,429
C00937,365
C00938,363
C00939,364
C00940,364
C00941,358
C00942,355
C00943,355
C00944,357
C00945,520
C00946,516
C00947,497
C00948,487
C00949,488
C00950,496
C00951,495
C00952,495
C00953,559
C00954,559
C00955,559
C00956,566
C00957,514
C00958,509
C00959,478
C00960,478
C00961,374
C00962,356
C00963,357
C00964,386
C00965,351
C00966,351
C00967,350
C00968,351
C00969,572
C00970,572
C00971,574
C00972,577
C00973,479
C00974,453
C00975,453
C00976,468
C00977,520
C00978,520
C00979,534
C00980,507
C00981,592
C00982,609
C00983,584
C00984,610
C00985,613
C00986,598
C00987,599
C00988,599
C00989,417
C00990,418
C00991,417
C00992,456
C00993,509
C00994,507
C00995,521
C00996,506
C00997,359
C00998,356
C00999,360
C01000,357
C01001,514
C01002,513
C01003,509
C01004,511
C01005,568
C01006,526
C01007,573
C01008,568
C01009,466
C01010,466
C01011,494
C01012,466
C01013,350
C01014,350
C01015,350
C01016,350
C01017,584
C01018,586
C01019,581
C01020,558
C01021,610
C01022,592
C01023,592
C01024,559
C01025,353
C01026,353
C01027,350
C01028,353
C01029,543
C01030,545
C01031,545
C01032,560
C01033,415
C01034,425
C01035,417
C01036,396
C01037,582
C01038,594
C01039,594
C01040,594
C01041,586
C01042,586
C01043,542
C01044,535
C01045,362
C01046,362
C01047,362
C01048,363
C01049,366
C01050,356
C01051,357
C01052,358
C01053,484
C01054,491
C01055,489
C01056,484
C01057,523
C01058,513
C01059,521
C01060,619
C01061,429
C01062,429
C01063,429
C01064,458
C01065,444
C01066,393
C01067,373
C01068,441
C01069,363
C01070,363
C01071,361
C01072,363
C01073,360
C01074,360
C01075,362
C01076,360
C01077,352
C01078,352
C01079,355
C01080,355
C01081,578
C01082,607
C01083,607
C01084,602
C01085,359
C01086,359
C01087,359
C01088,360
C01089,355
C01090,352
C01091,352
C01092,350
C01093,584
C01094,586
C01095,586
C01096,600
C01097,409
C01098,446
C01099,418
C01100,441
C01101,628
C01102,516
C01103,602
C01104,602
C01105,582
C01106,505
C01107,573
C01108,587
C01109,584
C01110,577
C01111,585
C01112,580
C01113,611
C01114,613
C01115,615
C01116,612
C01117,370
C01118,371
C01119,370
C01120,370
C01121,351
C01122,351
C01123,351
C01124,352
C01125,364
C01126,365
C01127,363
C01128,364
C01129,369
C01130,367
C01131,359
C01132,391
C01133,511
C01134,518
C01135,503
C01136,511
C01137,613
C01138,613
C01139,584
C01140,603
C01141,503
C01142,511
C01143,511
C01144,526
C01145,555
C01146,537
C01147,590
C01148,582
C01149,637
C01150,636
C01151,636
C01152,636
C01153,367
C01154,364
C01155,376
C01156,365
C01157,350
C01158,350
C01159,350
C01160,354
C01161,511
C01162,511
C01163,511
C01164,548
C01165,351
C01166,352
C01167,350
C01168,351
C01169,546
C01170,556
C01171,561
C01172,542
C01173,523
C01174,523
C01175,523
C01176,523
C01177,629
C01178,631
C01179,588
C01180,583
C01181,466
C01182,514
C01183,514
C01184,512
C01185,568
C01186,556
C01187,586
C01188,571
C01189,608
C01190,593
C01191,594
C01192,422
C01193,557
C01194,584
C01195,575
C01196,556
C01197,350
C01198,350
C01199,350
C01200,350
C01201,598
C01202,499
C01203,521
C01204,533
C01205,557
C01206,564
C01207,557
C01208,566
C01209,373
C01210,372
C01211,374
C01212,374
C01213,351
C01214,352
C01215,352
C01216,352
C01217,598
C01218,595
C01219,591
C01220,594
C01221,373
C01222,357
C01223,350
C01224,350
C01225,352
C01226,355
C01227,354
C01228,352
C01229,390
C01230,360
C01231,361
C01232,360
C01233,351
C01234,352
C01235,351
C01236,351
C01237,359
C01238,359
C01239,360
C01240,359
C01241,521
C01242,480
C01243,521
C01244,522
C01245,350
C01246,350
C01247,375
C01248,350
C01249,514
C01250,514
C01251,514
C01252,499
C01253,530
C01254,546
C01255,561
C01256,529
C01257,460
C01258,507
C01259,420
C01260,442
C01261,370
C01262,373
C01263,370
C01264,370
C01265,586
C01266,585
C01267,588
C01268,581
C01269,625
C01270,622
C01271,645
C01272,622
C01273,596
C01274,599
C01275,599
C01276,600
C01277,496
C01278,435
C01279,451
C01280,421
C01281,495
C01282,490
C01283,481
C01284,481
C01285,396
C01286,391
C01287,396
C01288,396
C01289,578
C01290,578
C01291,578
C01292,578
C01293,365
C01294,362
C01295,365
C01296,360
C01297,478
C01298,488
C01299,588
C01300,478
C01301,569
C01302,576
C01303,576
C01304,564
C01305,370
C01306,370
C01307,370
C01308,370
C01309,592
C01310,592
C01311,591
C01312,593
C01313,370
C01314,372
C01315,370
C01316,369
C01317,591
C01318,591
C01319,594
C01320,594
C01321,365
C01322,367
C01323,365
C01324,365
C01325,559
C01326,560
C01327,560
C01328,563
C01329,539
C01330,546
C01331,535
C01332,539
C01333,569
C01334,470
C01335,521
C01336,467
C01337,361
C01338,361
C01339,361
C01340,361
C01341,597
C01342,615
C01343,615
C01344,569
C01345,520
C01346,518
C01347,506
C01348,457
C01349,447
C01350,454
C01351,431
C01352,350
C01353,475
C01354,412
C01355,451
C01356,439
C01357,427
C01358,520
C01359,531
C01360,515
C01361,479
C01362,463
C01363,463
C01364,463
C01365,409
C01366,411
C01367,411
C01368,411
C01369,366
C01370,366
C01371,366
C01372,366
C01373,421
C01374,421
C01375,422
C01376,398
C01377,357
C01378,357
C01379,358
C01380,357
C01381,360
C01382,358
C01383,358
C01384,360
C01385,610
C01386,559
C01387,615
C01388,561
C01389,545
C01390,626
C01391,534
C01392,553
C01393,587
C01394,587
C01395,590
C01396,587
C01397,451
C01398,443
C01399,453
C01400,420
C01401,365
C01402,366
C01403,366
C01404,365
C01405,560
C01406,590
C01407,584
C01408,519
C01409,570
