customer_id,tgam_score
C00001,602
C00002,619
C00003,621
C00004,621
C00005,601
C00006,589
C00007,594
C00008,601
C00009,537
C00010,577
C00011,551
C00012,551
C00013,603
C00014,601
C00015,603
C00016,587
C00017,568
C00018,518
C00019,534
C00020,518
C00021,599
C00022,590
C00023,596
C00024,544
C00025,635
C00026,642
C00027,642
C00028,642
C00029,350
C00030,350
C00031,351
C00032,350
C00033,393
C00034,394
C00035,424
C00036,394
C00037,589
C00038,577
C00039,564
C00040,589
C00041,464
C00042,489
C00043,495
C00044,464
C00045,609
C00046,609
C00047,589
C00048,557
C00049,571
C00050,561
C00051,571
C00052,561
C00053,355
C00054,355
C00055,354
C00056,352
C00057,569
C00058,550
C00059,541
C00060,541
C00061,583
C00062,583
C00063,583
C00064,583
C00065,563
C00066,530
C00067,434
C00068,540
C00069,488
C00070,518
C00071,517
C00072,518
C00073,512
C00074,508
C00075,439
C00076,576
C00077,351
C00078,350
C00079,350
C00080,350
C00081,453
C00082,477
C00083,458
C00084,453
C00085,350
C00086,350
C00087,350
C00088,350
C00089,610
C00090,610
C00091,580
C00092,580
C00093,574
C00094,574
C00095,596
C00096,599
C00097,363
C00098,361
C00099,361
C00100,363
C00101,562
C00102,578
C00103,581
C00104,552
C00105,364
C00106,362
C00107,362
C00108,362
C00109,503
C00110,520
C00111,530
C00112,532
C00113,498
C00114,549
C00115,543
C00116,543
C00117,350
C00118,357
C00119,350
C00120,350
C00121,609
C00122,611
C00123,611
C00124,565
C00125,350
C00126,350
C00127,350
C00128,350
C00129,368
C00130,368
C00131,366
C00132,371
C00133,551
C00134,551
C00135,477
C00136,551
C00137,593
C00138,603
C00139,579
C00140,579
C00141,568
C00142,570
C00143,568
C00144,542
C00145,366
C00146,366
C00147,366
C00148,366
C00149,515
C00150,517
C00151,517
C00152,517
C00153,365
C00154,365
C00155,352
C00156,351
C00157,560
C00158,560
C00159,560
C00160,560
C00161,560
C00162,640
C00163,578
C00164,488
C00165,371
C00166,369
C00167,369
C00168,372
C00169,495
C00170,488
C00171,513
C00172,488
C00173,617
C00174,606
C00175,606
C00176,606
C00177,580
C00178,581
C00179,579
C00180,578
C00181,367
C00182,368
C00183,369
C00184,371
C00185,350
C00186,352
C00187,353
C00188,354
C00189,593
C00190,598
C00191,593
C00192,593
C00193,371
C00194,371
C00195,371
C00196,374
C00197,421
C00198,490
C00199,427
C00200,439
C00201,350
C00202,350
C00203,350
C00204,350
C00205,351
C00206,351
C00207,351
C00208,351
C00209,363
C00210,363
C00211,365
C00212,381
C00213,551
C00214,561
C00215,561
C00216,578
C00217,350
C00218,357
C00219,350
C00220,357
C00221,548
C00222,548
C00223,572
C00224,548
C00225,509
C00226,579
C00227,527
C00228,535
C00229,366
C00230,366
C00231,366
C00232,366
C00233,350
C00234,363
C00235,350
C00236,350
C00237,350
C00238,350
C00239,350
C00240,356
C00241,356
C00242,356
C00243,356
C00244,356
C00245,452
C00246,469
C00247,471
C00248,471
C00249,584
C00250,563
C00251,563
C00252,563
C00253,546
C00254,536
C00255,505
C00256,536
C00257,526
C00258,526
C00259,526
C00260,562
C00261,370
C00262,372
C00263,370
C00264,370
C00265,357
C00266,362
C00267,357
C00268,356
C00269,350
C00270,350
C00271,350
C00272,350
C00273,539
C00274,539
C00275,539
C00276,539
C00277,351
C00278,351
C00279,350
C00280,351
C00281,575
C00282,575
C00283,577
C00284,602
C00285,480
