customer_id,tgam_score
C00001,630
C00002,621
C00003,638
C00004,626
C00005,629
C00006,624
C00007,598
C00008,627
C00009,560
C00010,583
C00011,510
C00012,507
C00013,607
C00014,605
C00015,607
C00016,564
C00017,595
C00018,526
C00019,533
C00020,526
C00021,585
C00022,574
C00023,556
C00024,549
C00025,631
C00026,643
C00027,644
C00028,645
C00029,350
C00030,350
C00031,350
C00032,350
C00033,493
C00034,501
C00035,568
C00036,496
C00037,646
C00038,615
C00039,572
C00040,620
C00041,432
C00042,441
C00043,443
C00044,432
C00045,630
C00046,630
C00047,633
C00048,580
C00049,571
C00050,567
C00051,571
C00052,567
C00053,356
C00054,356
C00055,356
C00056,355
C00057,559
C00058,557
C00059,552
C00060,562
C00061,574
C00062,574
C00063,574
C00064,574
C00065,563
C00066,480
C00067,451
C00068,481
C00069,444
C00070,496
C00071,508
C00072,496
C00073,506
C00074,501
C00075,492
C00076,526
C00077,350
C00078,350
C00079,350
C00080,350
C00081,476
C00082,487
C00083,482
C00084,480
C00085,350
C00086,350
C00087,350
C00088,350
C00089,609
C00090,611
C00091,593
C00092,593
C00093,540
C00094,540
C00095,530
C00096,515
C00097,363
C00098,360
C00099,362
C00100,362
C00101,505
C00102,430
C00103,510
C00104,506
C00105,360
C00106,359
C00107,360
C00108,360
C00109,513
C00110,532
C00111,543
C00112,565
C00113,517
C00114,537
C00115,527
C00116,527
C00117,350
C00118,350
C00119,351
C00120,351
C00121,638
C00122,617
C00123,618
C00124,560
C00125,350
C00126,350
C00127,350
C00128,350
C00129,425
C00130,424
C00131,432
C00132,395
C00133,538
C00134,538
C00135,531
C00136,538
C00137,613
C00138,586
C00139,572
C00140,572
C00141,581
C00142,583
C00143,582
C00144,494
C00145,365
C00146,365
C00147,368
C00148,368
C00149,581
C00150,577
C00151,577
C00152,577
C00153,354
C00154,355
C00155,351
C00156,351
C00157,581
C00158,581
C00159,597
C00160,581
C00161,507
C00162,504
C00163,499
C00164,397
C00165,365
C00166,364
C00167,365
C00168,362
C00169,536
C00170,531
C00171,579
C00172,531
C00173,604
C00174,592
C00175,594
C00176,592
C00177,574
C00178,580
C00179,577
C00180,581
C00181,368
C00182,368
C00183,368
C00184,365
C00185,361
C00186,360
C00187,360
C00188,361
C00189,628
C00190,616
C00191,624
C00192,624
C00193,370
C00194,370
C00195,370
C00196,369
C00197,461
C00198,475
C00199,464
C00200,455
C00201,351
C00202,352
C00203,351
C00204,352
C00205,361
C00206,361
C00207,361
C00208,354
C00209,357
C00210,357
C00211,357
C00212,369
C00213,581
C00214,583
C00215,583
C00216,569
C00217,353
C00218,355
C00219,353
C00220,354
C00221,540
C00222,540
C00223,551
C00224,533
C00225,538
C00226,576
C00227,523
C00228,499
C00229,368
C00230,368
C00231,368
C00232,368
C00233,354
C00234,350
C00235,353
C00236,353
C00237,350
C00238,350
C00239,350
C00240,354
C00241,360
C00242,360
C00243,361
C00244,360
C00245,569
C00246,526
C00247,556
C00248,556
C00249,565
C00250,570
C00251,570
C00252,570
C00253,592
C00254,581
C00255,586
C00256,581
C00257,518
C00258,519
C00259,519
C00260,517
C00261,356
C00262,356
C00263,355
C00264,356
C00265,362
C00266,365
C00267,364
C00268,362
C00269,350
C00270,350
C00271,350
C00272,350
C00273,551
C00274,556
C00275,529
C00276,556
C00277,353
C00278,352
C00279,353
C00280,352
C00281,617
C00282,617
C00283,621
C00284,638
C00285,502
C00286,477
C00287,477
C00288,476
C00289,573
C00290,603
C00291,576
C00292,573
C00293,374
C00294,375
C00295,375
C00296,378
C00297,598
C00298,595
C00299,593
C00300,602
C00301,355
C00302,354
C00303,354
C00304,350
C00305,571
C00306,571
C00307,571
C00308,571
C00309,606
C00310,606
C00311,588
C00312,588
C00313,579
C00314,554
C00315,554
C00316,554
C00317,363
C00318,363
C00319,363
