customer_id,unsupervised_score,lr_score,rf_score
C00001,636,636,628
C00002,654,654,652
C00003,671,671,665
C00004,671,671,669
C00005,707,707,707
C00006,707,707,707
C00007,671,671,674
C00008,707,707,707
C00009,600,600,621
C00010,689,689,689
C00011,654,654,654
C00012,654,654,654
C00013,743,743,743
C00014,725,725,725
C00015,743,743,743
C00016,779,779,779
C00017,636,636,617
C00018,636,636,617
C00019,636,636,617
C00020,636,636,614
C00021,725,725,723
C00022,689,689,670
C00023,725,725,722
C00024,689,689,713
C00025,671,671,671
C00026,707,707,707
C00027,707,707,706
C00028,707,707,706
C00029,529,529,519
C00030,511,511,511
C00031,529,529,527
C00032,529,529,527
C00033,564,564,580
C00034,582,582,582
C00035,636,636,645
C00036,582,582,583
C00037,761,761,761
C00038,761,761,761
C00039,761,761,761
C00040,761,761,761
C00041,564,564,562
C00042,582,582,581
C00043,582,582,583
C00044,564,564,561
C00045,707,707,707
C00046,707,707,707
C00047,689,689,690
C00048,689,689,689
C00049,654,654,655
C00050,654,654,658
C00051,654,654,654
C00052,654,654,654
C00053,546,546,548
C00054,546,546,547
C00055,546,546,547
C00056,529,529,529
C00057,618,618,634
C00058,582,582,604
C00059,582,582,602
C00060,564,564,580
C00061,689,689,687
C00062,689,689,688
C00063,689,689,685
C00064,689,689,688
C00065,654,654,654
C00066,654,654,654
C00067,636,636,630
C00068,654,654,655
C00069,546,546,569
C00070,582,582,607
C00071,600,600,613
C00072,582,582,610
C00073,671,671,671
C00074,671,671,671
C00075,671,671,674
C00076,654,654,654
C00077,493,493,493
C00078,475,475,475
C00079,475,475,475
C00080,475,475,475
C00081,618,618,626
C00082,600,600,602
C00083,618,618,626
C00084,618,618,627
C00085,493,493,493
C00086,493,493,493
C00087,493,493,493
C00088,493,493,493
C00089,779,779,779
C00090,779,779,779
C00091,779,779,779
C00092,779,779,779
C00093,511,511,512
C00094,511,511,512
C00095,529,529,545
C00096,546,546,561
C00097,475,475,475
C00098,439,439,439
C00099,439,439,439
C00100,475,475,475
C00101,654,654,654
C00102,582,582,610
C00103,636,636,636
C00104,636,636,637
C00105,493,493,493
C00106,493,493,493
C00107,493,493,493
C00108,493,493,493
C00109,636,636,615
C00110,618,618,596
C00111,654,654,631
C00112,654,654,629
C00113,654,654,654
C00114,636,636,647
C00115,636,636,647
C00116,636,636,643
C00117,529,529,530
C00118,475,475,479
C00119,529,529,532
C00120,493,493,493
C00121,743,743,743
C00122,743,743,743
C00123,743,743,743
C00124,725,725,727
C00125,511,511,510
C00126,511,511,510
C00127,511,511,501
C00128,529,529,531
C00129,511,511,511
C00130,493,493,493
C00131,511,511,510
C00132,493,493,494
C00133,600,600,602
C00134,600,600,601
C00135,600,600,601
C00136,600,600,601
C00137,671,671,672
C00138,654,654,656
C00139,671,671,673
C00140,671,671,672
C00141,689,689,688
C00142,707,707,713
C00143,707,707,719
C00144,654,654,653
C00145,404,403,404
C00146,404,403,404
C00147,368,368,368
C00148,368,368,368
C00149,529,529,525
C00150,511,511,522
C00151,511,511,521
C00152,511,511,522
C00153,546,546,552
C00154,546,546,553
C00155,529,529,530
C00156,529,529,530
C00157,636,636,631
C00158,636,636,629
C00159,636,636,629
C00160,636,636,631
C00161,618,618,621
C00162,582,582,616
C00163,618,618,619
C00164,689,689,683
C00165,439,439,439
C00166,439,439,439
C00167,439,439,439
C00168,421,421,421
C00169,654,654,650
C00170,636,636,638
C00171,654,654,651
C00172,636,636,634
C00173,725,725,725
C00174,671,671,671
C00175,671,671,671
C00176,671,671,671
C00177,707,707,707
C00178,689,689,692
C00179,725,725,726
C00180,707,707,709
C00181,404,403,404
C00182,421,421,421
C00183,421,421,421
C00184,404,403,404
C00185,404,403,404
C00186,404,403,404
C00187,404,403,404
C00188,439,439,439
C00189,743,743,743
C00190,707,707,703
C00191,743,743,743
C00192,743,743,743
C00193,493,493,493
C00194,493,493,493
C00195,493,493,494
C00196,493,493,493
C00197,654,654,653
C00198,600,600,597
C00199,618,618,617
C00200,618,618,616
C00201,511,511,513
C00202,529,529,530
C00203,511,511,512
C00204,511,511,511
C00205,404,403,404
C00206,404,403,404
C00207,404,403,404
C00208,404,403,404
C00209,511,511,511
C00210,511,511,511
C00211,511,511,518
C00212,457,457,466
C00213,707,707,707
C00214,707,707,707
C00215,707,707,707
C00216,725,725,726
C00217,546,546,564
C00218,529,529,525
C00219,529,529,520
C00220,511,511,518
C00221,564,564,565
C00222,564,564,566
C00223,600,600,600
C00224,582,582,592
C00225,582,582,594
C00226,511,511,512
C00227,582,582,593
C00228,618,618,618
C00229,421,421,421
C00230,421,421,421
C00231,421,421,421
C00232,421,421,421
C00233,475,475,475
C00234,529,529,536
C00235,457,457,456
C00236,439,439,439
C00237,421,421,421
C00238,493,493,494
C00239,493,493,493
C00240,493,493,493
C00241,421,421,421
C00242,421,421,421
C00243,421,421,421
C00244,421,421,421
C00245,529,529,529
C00246,511,511,528
C00247,511,511,521
C00248,511,511,522
C00249,671,671,671
C00250,654,654,654
C00251,654,654,654
C00252,654,654,654
C00253,761,761,764
C00254,761,761,760
C00255,743,743,762
C00256,761,761,763
C00257,564,564,561
C00258,564,564,565
C00259,564,564,561
C00260,582,582,582
C00261,475,475,475
C00262,475,475,478
C00263,475,475,474
C00264,475,475,480
C00265,439,439,439
C00266,475,475,456
C00267,439,439,439
C00268,457,457,457
C00269,475,475,475
C00270,475,475,475
C00271,475,475,475
C00272,475,475,475
C00273,564,564,565
C00274,564,564,564
C00275,546,546,546
C00276,564,564,563
C00277,493,493,493
C00278,475,475,475
C00279,493,493,493
C00280,475,475,475
C00281,636,636,636
C00282,636,636,635
C00283,618,618,631
C00284,636,636,636
C00285,582,582,592
C00286,600,600,602
C00287,600,600,601
C00288,564,564,602
C00289,743,743,743
C00290,743,743,744
C00291,761,761,761
C00292,743,743,743
C00293,493,493,493
C00294,475,475,475
C00295,475,475,475
C00296,546,546,523
C00297,761,761,761
C00298,725,725,693
C00299,725,725,691
C00300,725,725,692
C00301,421,421,421
C00302,404,404,404
C00303,421,421,420
C00304,493,493,512
C00305,636,636,646
C00306,636,636,643
C00307,636,636,646
C00308,636,636,646
C00309,707,707,707
C00310,689,689,683
C00311,671,671,671
C00312,671,671,671
C00313,636,636,636
C00314,600,600,603
C00315,600,600,605
C00316,600,600,606
C00317,386,386,386
C00318,386,386,386
C00319,386,386,386
C00320,386,386,386
C00321,725,725,724
C00322,707,707,695
C00323,707,707,695
C00324,654,654,670
C00325,671,671,631
C00326,671,671,672
C00327,671,671,672
C00328,618,618,604
C00329,582,582,583
C00330,564,564,564
C00331,546,546,563
C00332,546,546,563
C00333,618,618,618
C00334,654,654,653
C00335,654,654,647
C00336,636,636,638
C00337,582,582,582
C00338,600,600,600
C00339,582,582,582
C00340,582,582,578
C00341,457,457,457
C00342,439,439,439
C00343,439,439,439
C00344,421,421,421
C00345,439,439,439
C00346,475,475,475
C00347,493,493,494
C00348,475,475,475
C00349,654,654,657
C00350,654,654,659
C00351,654,654,659
C00352,654,654,660
C00353,564,564,561
C00354,564,564,564
C00355,564,564,565
C00356,564,564,564
C00357,707,707,706
C00358,725,725,724
C00359,707,707,706
C00360,654,654,670
C00361,654,654,656
C00362,636,636,636
C00363,654,654,655
C00364,636,636,637
C00365,671,671,671
C00366,654,654,650
C00367,671,671,671
C00368,689,689,689
C00369,582,582,582
C00370,582,582,582
C00371,582,582,582
C00372,582,582,598
C00373,636,636,636
C00374,636,636,635
C00375,636,636,635
C00376,636,636,634
C00377,439,439,439
C00378,439,439,439
C00379,439,439,439
C00380,439,439,439
C00381,493,493,470
C00382,475,475,475
C00383,475,475,475
C00384,457,457,457
C00385,636,636,636
C00386,689,689,683
C00387,654,654,654
C00388,654,654,654
C00389,636,636,636
C00390,636,636,636
C00391,636,636,636
C00392,636,636,636
C00393,600,600,603
C00394,618,618,618
C00395,618,618,618
C00396,618,618,625
C00397,439,439,439
C00398,439,439,439
C00399,439,439,438
C00400,439,439,439
C00401,689,689,689
C00402,707,707,704
C00403,671,671,667
C00404,689,689,689
C00405,529,529,529
C00406,493,493,479
C00407,511,511,519
C00408,511,511,518
C00409,493,493,494
C00410,493,493,493
C00411,493,493,493
C00412,511,511,500
C00413,654,654,671
C00414,636,636,637
C00415,707,707,719
C00416,654,654,654
C00417,421,421,421
C00418,457,457,457
C00419,421,421,421
C00420,421,421,421
C00421,475,475,475
C00422,475,475,475
C00423,475,475,475
C00424,475,475,475
C00425,636,636,591
C00426,654,654,652
C00427,618,618,581
C00428,618,618,576
C00429,707,707,701
C00430,707,707,703
C00431,707,707,702
C00432,707,707,702
C00433,564,564,559
C00434,564,564,563
C00435,564,564,563
C00436,564,564,561
C00437,636,636,636
C00438,689,689,719
C00439,600,600,604
C00440,546,546,562
C00441,707,707,704
C00442,707,707,704
C00443,707,707,706
C00444,671,671,669
C00445,707,707,707
C00446,707,707,707
C00447,671,671,670
C00448,707,707,707
C00449,743,743,741
C00450,743,743,743
C00451,743,743,742
C00452,707,707,709
C00453,511,511,511
C00454,511,511,511
C00455,546,546,549
C00456,493,493,493
C00457,689,689,676
C00458,600,600,599
C00459,654,654,654
C00460,671,671,672
C00461,636,636,637
C00462,636,636,637
C00463,671,671,670
C00464,654,654,655
C00465,511,511,519
C00466,493,493,493
C00467,493,493,492
C00468,511,511,518
C00469,475,475,474
C00470,457,457,457
C00471,457,457,457
C00472,457,457,457
C00473,493,493,493
C00474,493,493,493
C00475,493,493,493
C00476,493,493,495
C00477,743,743,743
C00478,761,761,748
C00479,725,725,717
C00480,743,743,742
C00481,475,475,475
C00482,475,475,475
C00483,475,475,475
C00484,475,475,475
C00485,529,529,529
C00486,546,546,546
C00487,529,529,528
C00488,546,546,537
C00489,511,511,511
C00490,475,475,475
C00491,511,511,510
C00492,475,475,475
C00493,761,761,761
C00494,689,689,650
C00495,743,743,716
C00496,743,743,739
C00497,582,582,567
C00498,582,582,572
C00499,564,564,563
C00500,529,529,534
C00501,511,511,511
C00502,511,511,511
C00503,511,511,511
C00504,529,529,529
C00505,529,529,534
C00506,529,529,535
C00507,529,529,529
C00508,529,529,532
C00509,689,689,689
C00510,689,689,688
C00511,689,689,689
C00512,689,689,689
C00513,618,618,614
C00514,636,636,636
C00515,636,636,639
C00516,618,618,616
C00517,689,689,689
C00518,689,689,689
C00519,689,689,689
C00520,689,689,689
C00521,582,582,582
C00522,582,582,601
C00523,600,600,619
C00524,529,529,579
C00525,493,493,493
C00526,493,493,493
C00527,529,529,524
C00528,493,493,493
C00529,439,439,448
C00530,439,439,440
C00531,457,457,457
C00532,475,475,496
C00533,564,564,564
C00534,564,564,565
C00535,582,582,582
C00536,564,564,564
C00537,725,725,725
C00538,725,725,725
C00539,725,725,725
C00540,707,707,704
C00541,529,529,538
C00542,529,529,529
C00543,600,600,600
C00544,546,546,552
C00545,743,743,742
C00546,671,671,671
C00547,725,725,726
C00548,725,725,725
C00549,671,671,660
C00550,707,707,706
C00551,671,671,660
C00552,689,689,689
C00553,689,689,688
C00554,636,636,655
C00555,671,671,684
C00556,671,671,681
C00557,618,618,619
C00558,618,618,617
C00559,600,600,600
C00560,582,582,582
C00561,439,439,439
C00562,439,439,439
C00563,439,439,439
C00564,439,439,439
C00565,636,636,636
C00566,654,654,654
C00567,636,636,642
C00568,654,654,654
C00569,743,743,743
C00570,671,671,671
C00571,743,743,743
C00572,743,743,740
C00573,600,600,599
C00574,600,600,597
C00575,618,618,622
C00576,600,600,599
C00577,421,421,421
C00578,421,421,421
C00579,421,421,421
C00580,439,439,439
C00581,671,671,662
C00582,707,707,707
C00583,689,689,691
C00584,689,689,691
C00585,511,511,521
C00586,493,493,535
C00587,511,511,521
C00588,511,511,518
C00589,404,403,405
C00590,404,403,405
C00591,404,403,404
C00592,404,403,405
C00593,654,654,663
